I, [2018-04-16T14:21:06.825898 #10101]  INFO -- Kitchen: -----> Starting Kitchen (v1.20.0)
E, [2018-04-16T14:21:06.826335 #10101] ERROR -- Kitchen: ------Exception-------
E, [2018-04-16T14:21:06.826390 #10101] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-04-16T14:21:06.826417 #10101] ERROR -- Kitchen: Message: Kitchen YAML file /Users/brett/Dropbox/Presentations/InteropDemo/cookbooks/.kitchen.yml does not exist.
E, [2018-04-16T14:21:06.826439 #10101] ERROR -- Kitchen: ----------------------
E, [2018-04-16T14:21:06.826465 #10101] ERROR -- Kitchen: ------Backtrace-------
E, [2018-04-16T14:21:06.826485 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-04-16T14:21:06.826505 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:152:in `data'
E, [2018-04-16T14:21:06.826525 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:131:in `suites'
E, [2018-04-16T14:21:06.826544 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-04-16T14:21:06.826564 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-04-16T14:21:06.826583 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:117:in `instances'
E, [2018-04-16T14:21:06.826602 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-04-16T14:21:06.826620 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-04-16T14:21:06.826639 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-04-16T14:21:06.826661 #10101] ERROR -- Kitchen: /Users/brett/.rvm/rubies/ruby-2.4.1/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-04-16T14:21:06.826680 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:34:in `call'
E, [2018-04-16T14:21:06.826699 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:52:in `perform'
E, [2018-04-16T14:21:06.826717 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-04-16T14:21:06.826735 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-04-16T14:21:06.826753 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-04-16T14:21:06.826771 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-04-16T14:21:06.826790 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-04-16T14:21:06.826808 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-04-16T14:21:06.826826 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-04-16T14:21:06.826848 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/bin/kitchen:13:in `<top (required)>'
E, [2018-04-16T14:21:06.826866 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/bin/kitchen:23:in `load'
E, [2018-04-16T14:21:06.826884 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/bin/kitchen:23:in `<main>'
E, [2018-04-16T14:21:06.826901 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/bin/ruby_executable_hooks:15:in `eval'
E, [2018-04-16T14:21:06.826919 #10101] ERROR -- Kitchen: /Users/brett/.rvm/gems/ruby-2.4.1/bin/ruby_executable_hooks:15:in `<main>'
E, [2018-04-16T14:21:06.826955 #10101] ERROR -- Kitchen: ----End Backtrace-----
